ticker,fiscal_quarter,period_end,revpar_yoy_pct,source_url
H,Q1 2020,2020-03-31,-28.1,https://newsroom.hyatt.com/2020_q1_results
H,Q2 2020,2020-06-30,-89.4,https://www.sec.gov/Archives/edgar/data/1468174/000146817420000077/q22020earningsrelease.htm
H,Q3 2020,2020-09-30,-72.0,https://s203.q4cdn.com/249399152/files/doc_news/2020/11/Q3-2020-Earnings-Release-FINALx.pdf
H,Q4 2020,2020-12-31,-68.9,https://s203.q4cdn.com/249399152/files/doc_news/2021/02/Q4-2020-Earnings-Release.pdf
H,Q1 2021,2021-03-31,-48.9,https://s203.q4cdn.com/249399152/files/doc_news/2021/05/Q1-2021-Earnings-Release.pdf
H,Q2 2021,2021-06-30,361.5,https://s203.q4cdn.com/249399152/files/doc_news/2021/08/Q2-2021-Earnings-Release.pdf
H,Q3 2021,2021-09-30,137.8,https://www.sec.gov/Archives/edgar/data/1468174/000146817421000111/q32021earningsrelease.htm
H,Q4 2021,2021-12-31,131.8,https://www.sec.gov/Archives/edgar/data/1468174/000146817422000009/q42021earningsrelease.htm
H,Q1 2022,2022-03-31,107.2,https://www.sec.gov/Archives/edgar/data/1468174/000146817422000058/q12022earningsrelease.htm
H,Q2 2022,2022-06-30,81.7,https://s203.q4cdn.com/249399152/files/doc_news/2022/08/Final-Q2-2022-Earnings-Release-Full.pdf
H,Q3 2022,2022-09-30,45.9,https://www.sec.gov/Archives/edgar/data/1468174/000146817422000104/q32022earningsrelease.htm
H,Q4 2022,2022-12-31,34.8,https://s203.q4cdn.com/249399152/files/doc_financials/2022/q4/Final-Q4-2022-Earnings-Release-Full.pdf
H,Q1 2023,2023-03-31,42.9,https://s203.q4cdn.com/249399152/files/doc_news/2023/05/Final-Q1-2023-Earnings-Release-Full.pdf
H,Q2 2023,2023-06-30,15.0,https://s203.q4cdn.com/249399152/files/doc_financials/2023/q2/Final-Q2-2023-Earnings-Release-Full.pdf
H,Q3 2023,2023-09-30,8.9,https://www.sec.gov/Archives/edgar/data/1468174/000146817423000093/q32023earningsrelease.htm
H,Q4 2023,2023-12-31,9.1,https://s203.q4cdn.com/249399152/files/doc_financials/2023/q4/Final-Q4-2023-Earnings-Release-Full.pdf
H,Q1 2024,2024-03-31,5.5,https://s203.q4cdn.com/249399152/files/doc_financials/2024/q1/Final-Q1-2024-Earnings-Release-Full.pdf
H,Q2 2024,2024-06-30,4.7,https://s203.q4cdn.com/249399152/files/doc_financials/2024/q2/Final-Q2-2024-Earnings-Release-Full.pdf
H,Q3 2024,2024-09-30,3.0,https://www.sec.gov/Archives/edgar/data/1468174/000146817424000105/q32024earningsrelease.htm
H,Q4 2024,2024-12-31,5.0,https://www.sec.gov/Archives/edgar/data/1468174/000146817425000006/q42024earningsrelease.htm
H,Q1 2025,2025-03-31,5.7,https://s203.q4cdn.com/249399152/files/doc_financials/2025/q1/2025-Q1-Earnings-Release-Full.pdf
H,Q2 2025,2025-06-30,1.6,https://s203.q4cdn.com/249399152/files/doc_financials/2025/q2/v2/Final-Q2-2025-Earnings-Release-8-7-25.pdf
H,Q3 2025,2025-09-30,0.3,https://s203.q4cdn.com/249399152/files/doc_financials/2025/q3/v2/Final-Q3-2025-Earnings-Release-Full-1.pdf
H,Q4 2025,2025-12-31,4.0,https://s203.q4cdn.com/249399152/files/doc_financials/2025/q4/Final-Q4-2025-Earnings-Release-Full.pdf
H,Q1 2026,2026-03-31,5.4,https://s203.q4cdn.com/249399152/files/doc_financials/2026/q1/Final-Q1-2026-Earnings-Release.pdf
H,Q2 2026,2026-06-30,5.9,https://s203.q4cdn.com/249399152/files/doc_financials/2026/q2/Final-Q2-2026-Earnings-Release.pdf
